codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),probabilidade_risco,nascidos_vivos,indice_urgencia
260790,Poliomielite (3ª dose),0.8066261879619853,-0.1278878153329075,134.0,0.0,31490.889498584707,0.95,False,False,True,False,0.8263769416034404,7576.0,6260.631709587665
410690,BCG,0.9708830281650708,-0.058514790706432396,134.0,2.0,67691.29929334877,0.9,True,False,False,False,0.34886988839674116,17859.0,6230.4673368774
520140,Poliomielite (3ª dose),0.8567377801782339,-0.03865154981201546,55.0,1.0,39577.672055112205,0.95,False,False,True,False,0.8304905773691539,7406.0,6150.613215995953
311860,Poliomielite (3ª dose),0.7444364680545585,-0.11266258131679996,136.0,0.0,72511.7799258036,0.95,False,False,True,False,0.879764411068263,6965.0,6127.559123090452
354780,Poliomielite (3ª dose),0.7023606370875995,-0.09595027044174487,37.0,0.0,49312.87762762061,0.95,False,False,True,False,0.8628413984166454,7032.0,6067.5007136658505
354340,Hepatite B,0.21804932735426,-0.18864582934089671,53.0,2.0,74869.27496486041,0.95,False,True,False,False,0.8469532773789104,7136.0,6043.858587375904
260790,Hepatite B,0.7222808870116156,-0.020580178337093913,134.0,0.0,31490.889498584707,0.95,False,True,False,False,0.7949330664449548,7576.0,6022.412911386978
520140,Hepatite B,0.7539832568187955,0.08453068682297438,55.0,1.0,39577.672055112205,0.95,False,True,False,False,0.8122099131012237,7406.0,6015.2266164276625
353440,BCG,0.6086900129701686,-0.09927796263028899,38.0,0.0,163878.11532839702,0.9,True,False,False,False,0.7756719898919525,7710.0,5980.4310420669535
291080,Hepatite B,0.8989348825950133,0.020060175640077116,123.0,2.0,35449.37138146792,0.95,False,True,False,False,0.6969384483879348,8262.0,5758.105460581118
140010,Poliomielite (3ª dose),0.8855037551367436,-0.1953189563348673,56.0,1.0,44098.63695506015,0.95,False,False,True,False,0.8134786334416387,7057.0,5740.718716197644
354780,Hepatite B,0.7101820250284414,-0.42838081493720415,37.0,0.0,49312.87762762061,0.95,False,True,False,False,0.8148480608278263,7032.0,5730.011563741275
411370,Poliomielite (3ª dose),0.7579696688331786,-0.1354554828310286,57.0,6.0,50362.04976932001,0.95,False,False,True,False,0.8804025460171606,6462.0,5689.161252362892
110020,Poliomielite (3ª dose),0.8573428749222153,-0.14364040924690957,61.0,20.0,55170.106899142986,0.95,False,False,True,False,0.8841572354123727,6428.0,5683.3627092307315
354780,BCG,0.715301478953356,-0.2612229985731256,37.0,0.0,49312.87762762061,0.9,True,False,False,False,0.7930306343868554,7032.0,5576.591421008367
330455,BCG,1.3367162755849198,-0.0034163453315916303,396.0,3.0,67371.97489125733,0.9,True,False,False,False,0.09440452947262525,58726.0,5544.00039780939
530010,Tríplice viral (D1),1.1938266651381406,-0.24205459199784873,210.0,2.0,129790.43586934106,0.95,False,False,False,True,0.15805603456418976,34892.0,5514.891158013709
353440,Hepatite B,0.859792477302205,-0.2860964539470008,38.0,0.0,163878.11532839702,0.95,False,True,False,False,0.7046276832537091,7710.0,5432.679437886097
420540,Poliomielite (3ª dose),0.7140748031496063,-0.09931805399325089,57.0,0.0,58059.36959593158,0.95,False,False,True,False,0.8859492146772853,6096.0,5400.746412672731
291080,BCG,0.8542725732268216,-0.056511485121706784,123.0,2.0,35449.37138146792,0.9,True,False,False,False,0.637875676024435,8262.0,5270.128835313882
351880,Tríplice viral (D1),1.0192888682314665,-0.28228759651530644,74.0,6.0,75522.4215437566,0.95,False,False,False,True,0.3027059022263814,17212.0,5210.173989120476
530010,BCG,1.2630975581795254,-0.14718427584487226,210.0,2.0,129790.43586934106,0.9,True,False,False,False,0.14863322234776613,34892.0,5186.110394158256
520110,Poliomielite (3ª dose),0.745568124261354,-0.033838382710401405,53.0,3.0,51225.111502774096,0.95,False,False,True,False,0.8740229426476676,5923.0,5176.8378893021345
330100,Poliomielite (3ª dose),0.762153950033761,-0.24857858829673296,90.0,3.0,88831.26318401787,0.95,False,False,True,False,0.8631607947020532,5924.0,5113.364547814963
150680,Poliomielite (3ª dose),0.6808017227099553,-0.23105591906619627,75.0,8.0,26154.7770393623,0.95,False,False,True,False,0.8466777046213751,6037.0,5111.393302799242
