codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),cobertura_prevista_2026,deficit_cobertura,nascidos_vivos,criancas_sem_vacina_estimado
355030,Hepatite B,0.4616380679365751,-0.06345113720627732,649.0,10.0,93156.23455782696,0.95,False,True,False,False,0.6524671409919294,0.2975328590080706,122791.0,36534
355030,Poliomielite (3ª dose),0.7847724996131639,-0.09826320728067583,649.0,10.0,93156.23455782696,0.95,False,False,True,False,0.7920428787816293,0.1579571212183707,122791.0,19396
330455,Hepatite B,0.5638047883390662,0.15589974630763404,396.0,3.0,67371.97489125733,0.95,False,True,False,False,0.7267675855300759,0.22323241446992403,58726.0,13110
292740,Hepatite B,0.2983182406209573,0.170966576366254,178.0,0.0,31724.14895614718,0.95,False,True,False,False,0.5079410419700079,0.44205895802999207,23190.0,10251
530010,Poliomielite (3ª dose),0.7775134701364209,-0.08673747632112372,210.0,2.0,129790.43586934106,0.95,False,False,True,False,0.7872810410969626,0.16271895890303734,34892.0,5678
292740,Poliomielite (3ª dose),0.8061233290211298,0.0700204942548065,178.0,0.0,31724.14895614718,0.95,False,False,True,False,0.7350369780750572,0.21496302192494277,23190.0,4985
310620,Poliomielite (3ª dose),0.6955286177345589,-0.043393816078724945,173.0,1.0,56227.29318177892,0.95,False,False,True,False,0.7531023187933329,0.19689768120666706,22521.0,4434
354340,Hepatite B,0.21804932735426,-0.18864582934089671,53.0,2.0,74869.27496486041,0.95,False,True,False,False,0.32907639733203936,0.6209236026679605,7136.0,4431
230440,Poliomielite (3ª dose),0.827923894795747,-0.06992862600351346,138.0,11.0,35796.741312665006,0.95,False,False,True,False,0.7984156135813832,0.1515843864186167,28592.0,4334
130260,Poliomielite (3ª dose),0.8892683968161995,-0.14379239237683283,261.0,13.0,61855.15113953701,0.95,False,False,True,False,0.8260400574620261,0.12395994253797382,32791.0,4065
